"Overall","Covariate","Model"
100,"ICEDIST","Mr_EastPacific"
98.7102500344091,"SLOPEDIST","Mr_EastPacific"
90.7930813715526,"SHELFDIST","Mr_EastPacific"
74.4284938730385,"DEPTH","Mr_EastPacific"
58.6659539583642,"SST","Mr_EastPacific"
46.1928279259045,"SSTFRONT","Mr_EastPacific"
26.9889006220432,"SSTVAR","Mr_EastPacific"
25.4878788821368,"SLOPE","Mr_EastPacific"
6.48611133966391,"ICE","Mr_EastPacific"
0,"ICEVAR","Mr_EastPacific"
